symbol,id,type,exchange,en_organ_name,en_organ_short_name,organ_short_name,organ_name
VLP,8425677,STOCK,UPCOM,Vinh Long Public Works Joint Stock Company,Vinh Long Public Works,Công trình Công cộng Vĩnh Long,Công ty Cổ phần Công trình Công cộng Vĩnh Long
VLG,8425966,STOCK,UPCOM,VIMC Logistics Joint Stock Company,VIMC Logistics JSC,VIMC Logistics,Công ty Cổ phần VIMC Logistics
VLF,8425094,STOCK,UPCOM,VinhLong Cereal and Food Corporation,Vinh Long Food,Lương thực Vĩnh Long,Công ty Cổ phần Lương thực Thực phẩm Vĩnh Long
VLC,8425846,STOCK,UPCOM,Vietnam LiveStock Corporation - Joint Stock Company,Vietnam LiveStock,Chăn nuôi Việt Nam,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần
VLB,8425875,STOCK,UPCOM,Bien Hoa Building Materials Production and Construction Joint Stock Company,Bien Hoa Building Materials,VLXD Biên Hòa,Công ty Cổ phần Xây dựng và Sản xuất Vật liệu Xây dựng Biên Hòa
VLA,8425940,STOCK,HNX,Van Lang Technology Development and Investment Joint Stock Company,Van Lang Technology Development,PT Công nghệ Văn Lang,Công ty Cổ phần Đầu tư và Phát triển Công nghệ Văn Lang
VKP,9679673,STOCK,UPCOM,Viky Plastic Joint Stock Company,Viky Plastic,Nhựa Tân Hóa,Công ty Cổ phần Nhựa Tân Hóa
VKD,8425097,STOCK,DELISTED,Khanh Hoa Mineral Water Joint Stock Company,Khanh Hoa Mineral Water,Nước khoáng Khánh Hòa,Công ty Cổ phần Nước khoáng Khánh Hòa
VKC,8426083,STOCK,UPCOM,VKC Holdings Joint Stock Company,VKC Holdings,VKC Holdings,Công ty Cổ phần VKC Holdings
VJC,8424758,STOCK,HSX,VietJet Aviation Joint Stock Company,Vietjet Air,Vietjet Air,Công ty Cổ phần Hàng không Vietjet
VIX,8424903,STOCK,HSX,VIX Securities Joint Stock Company,VIX Securities,Chứng khoán VIX,Công ty Cổ phần Chứng khoán VIX
VIW,8425770,STOCK,UPCOM,Vietnam Water and Environment Investment Corporation - JSC,Viwaseen,Đầu tư nước và môi trường VN - Viwaseen,Tổng công ty Đầu tư Nước và Môi trường Việt Nam - Công ty Cổ phần
VIT,8425616,STOCK,HNX,Viglacera Tien Son Joint Stock Company,Viglacera Tien Son,Viglacera Tiên Sơn,Công ty Cổ phần Viglacera Tiên Sơn
VIS,8424604,STOCK,DELISTED,Vietnam - Itaty Steel JSC,Vietnam - Italy Steel,Thép Việt Ý,Công ty Cổ phần Thép Việt Ý
VIR,9679672,STOCK,UPCOM,VungTau Intourco Resort Joint Stock Company,VungTau Intourco Resort,Du lịch Vũng Tàu,Công ty Cổ phần Du lịch Quốc tế Vũng Tàu
VIP,8424495,STOCK,HSX,Vietnam Petroleum Transport Joint Stock Company,Viet Nam Petroleum Transport,Vận tải Xăng dầu VIPCO,Công ty Cổ phần Vận tải Xăng dầu VIPCO
VIN,8425535,STOCK,UPCOM,VINATRANS,VINATRANS,Kho vận ngoại thương VN,Công ty Cổ phần Giao nhận Kho vận Ngoại thương Việt Nam
VIM,8425475,STOCK,UPCOM,Viglacera Mineral Joint Stock Company,Viglacera Mineral,Khoáng sản Viglacera,Công ty Cổ phần Khoáng sản Viglacera
VIH,8425673,STOCK,UPCOM,Viglacera Ha Noi Joint Stock Company,Viglacera Ha Noi,Viglacera Hà Nội,Công ty Cổ phần Viglacera Hà Nội
VIG,8425577,STOCK,HNX,Viet Nam Financial Investment Securities Corporation,Viet Nam Financial Investment Securities,Chứng khoán Đầu tư Tài chính Việt Nam,Công ty Cổ phần Chứng khoán Đầu tư Tài chính Việt Nam
VIF,8425853,STOCK,HNX,Viet Nam Forestry Corporation Joint Stock Company,VietNam Forestry,Lâm nghiệp Việt Nam,Tổng Công ty Lâm nghiệp Việt Nam - Công ty Cổ phần
VIE,8425583,STOCK,UPCOM,VITECO Vietnam Telecommunications Technology Joint Stock Company,VITECO VNPT,CN Viễn thông VI TE CO,Công ty Cổ phần Công nghệ Viễn thông VI TE CO
