exercise_date,cash_year,cash_dividend_percentage,issue_method,Symbol
04/06/20,2019.0,0.2,cash,ARM
04/06/19,2018.0,0.2,cash,ARM
21/05/18,2017.0,0.15,cash,ARM
05/09/17,2017.0,0.1,cash,ARM
29/05/17,2016.0,0.155,cash,ARM
09/12/16,2016.0,0.1,cash,ARM
27/05/16,2015.0,0.205,cash,ARM
27/11/15,2015.0,0.1,cash,ARM
02/06/15,2014.0,0.27,cash,ARM
28/05/14,2013.0,0.12,cash,ARM
16/12/13,2013.0,0.12,cash,ARM
19/07/18,2018.0,0.2,share,ART
10/03/16,2015.0,0.011,cash,ASA
15/03/11,2011.0,0.125,share,ASA
07/07/21,2021.0,0.2,share,ASG
12/02/20,2019.0,0.15,cash,ASG
17/07/19,2019.0,0.15,share,ASG
27/02/19,2018.0,0.2,cash,ASG
31/12/17,2017.0,0.1,cash,ASG
22/06/17,2017.0,0.25,share,ASG
27/12/16,2016.0,0.35,share,ASG
20/06/16,2016.0,0.2,share,ASG
15/07/24,2024.0,0.1,share,ASM
07/10/22,2021.0,0.15,cash,ASM
14/01/22,2022.0,0.3,share,ASM
29/10/19,2018.0,0.08,cash,ASM
29/10/19,2019.0,0.02,cash,ASM
19/03/19,2019.0,0.07,share,ASM
25/09/17,2017.0,0.1,share,ASM
31/07/15,2015.0,0.05,share,ASM
18/09/14,2013.0,0.05,cash,ASM
15/11/13,2013.0,0.2,share,ASM
10/08/10,2009.0,0.2,cash,ASM
10/08/10,2010.0,0.3,cash,ASM
24/11/22,2021.0,0.05,cash,ASP
08/12/21,2020.0,0.05,cash,ASP
26/10/20,2019.0,0.05,cash,ASP
02/10/19,2018.0,0.05,cash,ASP
02/08/18,2017.0,0.06,cash,ASP
24/10/17,2016.0,0.02,cash,ASP
12/08/15,2014.0,0.03,cash,ASP
08/08/14,2013.0,0.06,cash,ASP
14/03/13,2012.0,0.06,cash,ASP
20/05/10,2009.0,0.1,cash,ASP
18/05/09,2008.0,0.07,cash,ASP
25/04/08,2007.0,0.15,cash,ASP
22/11/24,2024.0,0.15,cash,AST
31/05/24,2023.0,0.12,cash,AST
30/07/20,2019.0,0.1,cash,AST
14/11/19,2019.0,0.2,cash,AST
20/05/19,2019.0,0.25,share,AST
15/03/19,2018.0,0.15,cash,AST
18/06/18,2017.0,0.2,cash,AST
28/04/17,2016.0,0.25,cash,AST
28/04/17,2017.0,0.25,cash,AST
14/11/11,2010.0,0.05,cash,ATA
14/11/11,2011.0,0.2,share,ATA
14/05/10,2009.0,0.17,cash,ATA
02/11/09,2009.0,0.16,cash,ATA
19/12/24,2024.0,0.05,cash,AVC
21/10/24,2023.0,0.17,cash,AVC
11/01/24,2023.0,0.479,cash,AVC
22/12/23,2023.0,0.21,cash,AVC
18/10/23,2023.0,0.247,cash,AVC
21/08/23,2023.0,0.25,cash,AVC
13/07/23,2022.0,0.15,cash,AVC
09/06/23,2022.0,0.1,cash,AVC
19/12/22,2022.0,0.05,cash,AVC
26/10/22,2021.0,0.3,cash,AVC
02/06/21,2020.0,0.172,cash,AVC
11/03/21,2020.0,0.1,cash,AVC
15/07/20,2019.0,0.1,cash,AVC
17/05/19,2018.0,0.05,cash,AVC
19/03/19,2018.0,0.1,cash,AVC
06/06/12,2011.0,0.05,cash,AVF
06/06/12,2011.0,0.1,cash,AVF
30/05/11,2010.0,0.1,cash,AVF
14/04/11,2011.0,0.333,share,AVF
20/08/10,2010.0,0.333,share,AVF
20/08/10,2010.0,0.167,share,AVF
28/09/15,2014.0,0.1,cash,B82
28/05/14,2013.0,0.14,cash,B82
01/07/13,2012.0,0.12,cash,B82
26/07/12,2011.0,0.12,cash,B82
26/05/11,2010.0,0.2,cash,B82
31/05/10,2009.0,0.2,cash,B82
20/05/09,2008.0,0.1,cash,B82
06/08/08,2008.0,0.1,cash,B82
20/05/08,2007.0,0.11,cash,B82
11/01/24,2024.0,0.075,share,BAB
05/07/22,2022.0,0.08,share,BAB
10/08/21,2021.0,0.063,share,BAB
07/09/20,2020.0,0.09,share,BAB
16/03/18,2018.0,0.092,share,BAB
17/05/24,2024.0,0.17,share,BAF
09/05/22,2022.0,0.45,share,BAF
20/09/24,2023.0,0.07,cash,BAL
24/05/23,2022.0,0.02,cash,BAL
10/05/19,2018.0,0.13,cash,BAL
15/05/18,2017.0,0.13,cash,BAL
15/05/17,2016.0,0.15,cash,BAL
07/04/16,2015.0,0.125,cash,BAL
08/04/15,2014.0,0.12,cash,BAL
26/12/24,2024.0,0.2,cash,BAX
30/07/24,2023.0,0.05,cash,BAX
18/12/23,2023.0,0.2,cash,BAX
11/05/23,2022.0,0.5,cash,BAX
09/05/22,2021.0,0.5,cash,BAX
23/04/21,2020.0,0.409,cash,BAX
23/04/21,2020.0,0.9,cash,BAX
29/10/20,2020.0,0.3,cash,BAX
03/04/20,2019.0,0.2,cash,BAX
19/12/19,2019.0,0.3,cash,BAX
27/05/19,2018.0,0.1,cash,BAX
27/12/18,2018.0,0.2,cash,BAX
06/04/18,2017.0,0.2,cash,BAX
25/05/17,2016.0,0.01,cash,BAX
15/03/17,2016.0,0.19,cash,BAX
09/09/24,2023.0,0.15,cash,BBC
09/08/23,2022.0,0.2,cash,BBC
11/07/22,2021.0,0.1,cash,BBC
11/08/21,2020.0,0.36,cash,BBC
05/12/18,2017.0,0.02,cash,BBC
21/09/17,2017.0,0.1,cash,BBC
27/04/17,2016.0,0.06,cash,BBC
25/08/16,2016.0,0.06,cash,BBC
16/03/16,2015.0,0.12,cash,BBC
22/06/15,2014.0,0.12,cash,BBC
27/08/14,2013.0,0.06,cash,BBC
13/11/13,2013.0,0.06,cash,BBC
13/11/13,2012.0,0.12,cash,BBC
12/04/12,2011.0,0.12,cash,BBC
05/05/11,2010.0,0.1,cash,BBC
28/06/24,2023.0,0.02,cash,BBH
13/07/23,2022.0,0.05,cash,BBH
10/06/22,2021.0,0.06,cash,BBH
12/07/21,2020.0,0.1,cash,BBH
15/07/20,2019.0,0.12,cash,BBH
31/12/18,2018.0,0.15,cash,BBH
29/12/17,2017.0,0.2,cash,BBH
06/07/17,2017.0,0.28,share,BBH
17/07/13,2013.0,0.334,share,BBH
23/05/24,2023.0,0.02,cash,BBM
23/05/23,2022.0,0.06,cash,BBM
24/05/22,2021.0,0.06,cash,BBM
25/05/21,2020.0,0.08,cash,BBM
22/06/20,2019.0,0.08,cash,BBM
29/05/19,2018.0,0.08,cash,BBM
29/05/18,2017.0,0.08,cash,BBM
31/12/16,2016.0,0.07,cash,BBM
31/12/15,2015.0,0.08,cash,BBM
31/12/14,2014.0,0.08,cash,BBM
09/08/24,2023.0,0.09,cash,BBS
