deal_announce_date,deal_method,deal_action,deal_quantity,deal_price,deal_ratio,Ticker
2021-11-18,,Bán,-5000.0,17499.0,-0.747,TLH
2021-11-18,,Bán,-66600.0,17499.0,-0.747,TLH
2021-11-18,,Bán,-29000.0,17499.0,-0.747,TLH
2021-11-12,,Mua,500000.0,19373.0,-0.771,TLH
2021-11-01,,Bán,0.0,19884.0,-0.777,TLH
2021-10-08,,Bán,-2267600.0,19501.0,-0.773,TLH
2021-08-20,,Mua,5082772.0,14817.0,-0.701,TLH
2021-07-30,,Bán,-657800.0,12518.0,-0.646,TLH
2021-07-30,,Bán,-1218797.0,12518.0,-0.646,TLH
2021-07-30,,Bán,-719175.0,12518.0,-0.646,TLH
2021-05-24,,Bán,-7900.0,15072.0,-0.706,TLH
2021-05-20,,Bán,-25400.0,15583.0,-0.716,TLH
2021-05-18,,Bán,-1679487.0,16392.0,-0.73,TLH
2021-05-18,,Bán,-301300.0,16392.0,-0.73,TLH
2021-05-18,,Mua,85800.0,16392.0,-0.73,TLH
2024-06-17,,Bán,0.0,,,TLI
2024-05-02,,Bán,-8300.0,,,TLI
2022-10-05,,Bán,0.0,,,TLI
2022-09-05,,Bán,0.0,,,TLI
2022-07-26,,Bán,0.0,,,TLI
2022-06-20,,Bán,-69802.0,,,TLI
2022-05-18,,Bán,-141002.0,,,TLI
2022-04-26,,Bán,0.0,,,TLI
2022-04-15,,Bán,0.0,,,TLI
2022-04-04,,Bán,-72917.0,,,TLI
2022-03-22,,Bán,-126200.0,,,TLI
2022-03-22,,Bán,-86900.0,,,TLI
2022-03-22,,Bán,-19200.0,,,TLI
2022-02-09,,Bán,-500.0,,,TLI
2019-11-14,,Bán,-257472.0,,,TLI
2019-11-13,,Mua,300000.0,,,TLI
2019-09-23,,Bán,-1300.0,,,TLI
2019-08-16,,Bán,-1100.0,,,TLI
2024-10-17,,Bán,-24056000.0,,,TLP
2024-10-17,,Bán,-7100000.0,,,TLP
2021-12-09,,Mua,149000.0,,,TLP
2021-11-18,,Bán,-35490000.0,,,TLP
2020-10-19,,Mua,11575000.0,,,TLP
2020-09-30,,Bán,-34422600.0,,,TLP
2019-01-04,,Bán,-30958800.0,,,TLP
2021-08-04,,Mua,0.0,13997.0,0.072,TLT
2021-07-05,,Mua,20000.0,15638.0,-0.041,TLT
2021-05-28,,Mua,30000.0,10165.0,0.476,TLT
2021-04-26,,Mua,10000.0,11181.0,0.342,TLT
2020-12-10,,Mua,63700.0,7506.0,0.998,TLT
2020-07-31,,Mua,66000.0,7506.0,0.998,TLT
2019-09-06,,Mua,75000.0,8169.0,0.836,TLT
2019-06-27,,Mua,0.0,9589.0,0.564,TLT
2019-05-23,,Mua,0.0,8685.0,0.727,TLT
2019-05-05,,Mua,0.0,8685.0,0.727,TLT
2019-04-19,,Mua,20000.0,8685.0,0.727,TLT
2019-04-05,,Mua,35900.0,9033.0,0.661,TLT
2019-03-29,,Mua,0.0,9311.0,0.611,TLT
2019-03-19,,Mua,10000.0,9033.0,0.661,TLT
2019-03-04,,Mua,29700.0,8338.0,0.799,TLT
2019-02-28,,Mua,0.0,7713.0,0.945,TLT
2019-01-28,,Mua,47400.0,7504.0,0.999,TLT
2018-10-08,,Mua,7800.0,7296.0,1.056,TLT
2018-08-31,,Mua,19600.0,6948.0,1.159,TLT
2018-07-30,,Mua,14000.0,7574.0,0.98,TLT
,,,,,,TMB
2018-07-25,,Mua,113300.0,9292.0,-0.118,TMC
2018-06-05,,Mua,130400.0,9154.0,-0.104,TMC
2018-01-09,,Mua,5000.0,8892.0,-0.078,TMC
2017-11-23,,Bán,-4400.0,8042.0,0.02,TMC
2016-08-26,,Mua,4300.0,8586.0,-0.045,TMC
2016-07-08,,Bán,-36100.0,9080.0,-0.097,TMC
2016-04-11,,Bán,-39400.0,8023.0,0.022,TMC
2016-04-06,,Mua,20000.0,7847.0,0.045,TMC
2016-02-01,,Bán,-36700.0,8081.0,0.015,TMC
2014-12-12,,Mua,2091130.0,,,TMC
2014-12-12,,Bán,-2091130.0,,,TMC
2013-11-04,,Mua,71800.0,,,TMC
2013-10-18,,Bán,-15800.0,,,TMC
2013-09-13,,Bán,0.0,,,TMC
2013-07-12,,Bán,-6000.0,,,TMC
2013-03-05,,Mua,3200.0,,,TMC
2012-04-16,,Mua,102700.0,,,TMC
2012-03-30,,Mua,778520.0,,,TMC
2012-03-27,,Mua,881290.0,,,TMC
2011-06-15,,Mua,300.0,,,TMC
2021-03-09,,Bán,-86900.0,,,TMG
2021-02-25,,Mua,86900.0,,,TMG
2019-06-18,,Bán,-73400.0,,,TMG
2019-06-11,,Bán,0.0,,,TMG
2019-01-21,,Mua,73400.0,,,TMG
2017-07-26,,Bán,-176100.0,,,TMG
2017-07-12,,Mua,1933900.0,,,TMG
2017-07-12,,Bán,-1936000.0,,,TMG
2017-06-19,,Bán,-2600.0,,,TMG
2017-05-19,,Bán,-47600.0,,,TMG
2017-03-27,,Bán,-2160000.0,,,TMG
2017-03-24,,Mua,1965600.0,,,TMG
2021-01-06,,Mua,5000.0,26801.0,1.481,TMP
2020-11-20,,Bán,-29843740.0,28096.0,1.367,TMP
2020-11-16,,Mua,29843740.0,27189.0,1.446,TMP
2016-08-05,,Mua,900000.0,12404.0,4.361,TMP
2016-08-02,,Bán,-750000.0,12634.0,4.264,TMP
2016-08-02,,Mua,755080.0,12634.0,4.264,TMP
2015-09-25,,Mua,1282700.0,12171.0,4.464,TMP
2015-03-11,,Mua,345930.0,11090.0,4.996,TMP
2014-02-10,,Mua,2482880.0,,,TMP
2013-11-21,,Bán,-36341500.0,,,TMP
2013-11-18,,Mua,36341500.0,,,TMP
2013-08-29,,Bán,-16109210.0,,,TMP
2013-08-27,,Mua,16109210.0,,,TMP
2011-09-09,,Mua,1922600.0,,,TMP
2011-07-13,,Mua,1747100.0,,,TMP
2011-07-06,,Mua,1826640.0,,,TMP
2011-05-16,,Mua,731930.0,,,TMP
2011-05-04,,Bán,-3500000.0,,,TMP
2011-04-29,,Mua,3600240.0,,,TMP
2011-03-28,,Mua,20000.0,,,TMP
2024-09-30,,Mua,154889.0,44550.0,-0.048,TMS
2024-08-30,,Bán,-252889.0,45795.0,-0.074,TMS
2024-08-23,,Mua,100000.0,47010.0,-0.098,TMS
2024-08-19,,Mua,31500.0,46637.0,-0.091,TMS
2024-07-15,,Mua,41800.0,47928.0,-0.115,TMS
2024-06-12,,Mua,69828.0,45800.0,-0.074,TMS
2024-05-02,,Mua,28800.0,52739.0,-0.196,TMS
2024-04-26,,Bán,0.0,50426.0,-0.159,TMS
2024-04-11,,Mua,100000.0,53202.0,-0.203,TMS
2024-03-18,,Mua,29500.0,49224.0,-0.139,TMS
2024-02-06,,Mua,21400.0,43487.0,-0.025,TMS
2024-01-08,,Mua,22500.0,39786.0,0.066,TMS
2023-12-04,,Mua,97800.0,38120.0,0.112,TMS
2023-11-10,,Mua,66200.0,40711.0,0.041,TMS
2023-10-27,,Bán,-34000.0,39878.0,0.063,TMS
2023-10-25,,Mua,100000.0,42562.0,-0.004,TMS
2023-10-06,,Mua,78800.0,43024.0,-0.015,TMS
2023-09-21,,Mua,21200.0,40781.0,0.04,TMS
2023-09-12,,Mua,906000.0,40140.0,0.056,TMS
2023-09-12,,Bán,-906000.0,40140.0,0.056,TMS
2024-08-22,,Mua,30000.0,7700.0,0.578,TMT
2024-06-26,,Mua,1670000.0,12250.0,-0.008,TMT
2024-06-26,,Bán,-1670000.0,12250.0,-0.008,TMT
2024-05-02,,Mua,1100000.0,11000.0,0.105,TMT
2024-05-02,,Mua,3263253.0,11000.0,0.105,TMT
2024-05-02,,Bán,-3263253.0,11000.0,0.105,TMT
2024-05-02,,Bán,-1100000.0,11000.0,0.105,TMT
2024-04-19,,Mua,2322600.0,11800.0,0.03,TMT
2024-04-19,,Bán,-1827600.0,11800.0,0.03,TMT
2024-01-04,,Mua,1634000.0,15450.0,-0.214,TMT
2023-11-03,,Mua,671000.0,15250.0,-0.203,TMT
2023-09-06,,Mua,1100000.0,18250.0,-0.334,TMT
2023-09-06,,Mua,1780000.0,18250.0,-0.334,TMT
2023-09-06,,Bán,-1780000.0,18250.0,-0.334,TMT
2023-09-06,,Bán,-1100000.0,18250.0,-0.334,TMT
2023-06-12,,Bán,-30000.0,23600.0,-0.485,TMT
2022-06-10,,Mua,2200.0,24600.0,-0.506,TMT
2022-06-10,,Bán,-200000.0,24600.0,-0.506,TMT
2021-12-22,,Mua,12700.0,16077.0,-0.244,TMT
2021-11-10,,Mua,883000.0,18052.0,-0.327,TMT
2024-12-17,,Mua,450.0,24000.0,-0.025,TMW
2024-11-07,,Mua,90000.0,19500.0,0.2,TMW
2021-07-05,,Mua,466500.0,12764.0,0.833,TMW
2021-07-01,,Bán,-416500.0,12764.0,0.833,TMW
2020-01-07,,Mua,1725100.0,11209.0,1.088,TMW
2020-01-03,,Bán,-1725200.0,11209.0,1.088,TMW
2019-01-21,,Bán,0.0,11841.0,0.976,TMW
2018-07-03,,Mua,20000.0,7936.0,1.949,TMW
2024-07-05,,Bán,-9000.0,9597.0,0.032,TMX
2020-07-09,,Bán,-1400.0,11630.0,-0.149,TMX
2020-07-07,,Mua,1500.0,10573.0,-0.064,TMX
2019-08-14,,Mua,9900.0,10195.0,-0.029,TMX
2016-11-21,,Mua,76800.0,6272.0,0.578,TMX
2016-11-21,,Mua,900.0,6272.0,0.578,TMX
2015-05-25,,Mua,48600.0,5063.0,0.955,TMX
2015-05-25,,Bán,-100.0,5063.0,0.955,TMX
2015-05-19,,Mua,50000.0,5063.0,0.955,TMX
2010-12-27,,Mua,601500.0,,,TMX
2010-06-22,,Bán,0.0,,,TMX
2010-03-26,,Bán,0.0,,,TMX
2024-07-08,,Bán,-5806134.0,11669.0,-0.143,TN1
2024-07-04,,Mua,2600000.0,11713.0,-0.146,TN1
2020-11-03,,Mua,25000.0,21596.0,-0.537,TN1
2020-11-03,,Mua,150000.0,21596.0,-0.537,TN1
2020-11-02,,Mua,2555555.0,20516.0,-0.513,TN1
2024-09-20,,Bán,-20000.0,3770.0,-0.019,TNA
2024-09-12,,Bán,-100000.0,4050.0,-0.086,TNA
2024-08-29,,Bán,-11000.0,4250.0,-0.129,TNA
2024-05-14,,Bán,0.0,5250.0,-0.295,TNA
2024-04-26,,Bán,-5400.0,5900.0,-0.373,TNA
2024-04-25,,Bán,-30465.0,5900.0,-0.373,TNA
2022-12-01,,Mua,1090500.0,7260.0,-0.49,TNA
2022-11-25,,Bán,-472100.0,6240.0,-0.407,TNA
2022-03-07,,Mua,400000.0,16650.0,-0.778,TNA
2022-02-22,,Bán,-168100.0,18250.0,-0.797,TNA
2021-12-10,,Mua,179874.0,12900.0,-0.713,TNA
2021-11-03,,Mua,2358792.0,12501.0,-0.704,TNA
2021-10-01,,Bán,-935092.0,13168.0,-0.719,TNA
2021-09-24,,Mua,0.0,12668.0,-0.708,TNA
2021-08-19,,Mua,92944.0,10834.0,-0.658,TNA
2020-11-16,,Bán,-17230.0,10918.0,-0.661,TNA
2020-09-15,,Bán,-111280.0,13709.0,-0.73,TNA
2020-08-25,,Bán,-500000.0,13084.0,-0.717,TNA
2020-07-13,,Mua,254700.0,12754.0,-0.71,TNA
2020-07-13,,Mua,469300.0,12754.0,-0.71,TNA
2024-08-30,,Bán,0.0,10800.0,-0.13,TNB
2023-11-07,,Mua,600.0,11500.0,-0.183,TNB
2022-05-26,,Mua,57100.0,19353.0,-0.514,TNB
2021-12-27,,Mua,8800.0,21133.0,-0.555,TNB
2021-07-05,,Mua,2100.0,15095.0,-0.377,TNB
2020-06-23,,Mua,10700.0,9362.0,0.004,TNB
2020-03-25,,Mua,17200.0,8175.0,0.15,TNB
2020-02-26,,Mua,552000.0,7905.0,0.189,TNB
2013-01-18,,Mua,10100.0,,,TNB
2012-10-23,,Mua,5000.0,,,TNB
2012-10-12,,Mua,7000.0,,,TNB
2012-06-11,,Mua,4500.0,,,TNB
2012-01-18,,Mua,5000.0,,,TNB
2011-10-27,,Mua,5600.0,,,TNB
2024-10-11,,Mua,402792.0,36100.0,-0.159,TNC
2024-07-12,,Bán,-600000.0,37411.0,-0.189,TNC
2024-07-10,,Bán,-858108.0,36539.0,-0.169,TNC
2024-07-10,,Mua,858108.0,36539.0,-0.169,TNC
2024-06-17,,Mua,500000.0,44438.0,-0.317,TNC
2024-06-17,,Bán,-500000.0,44438.0,-0.317,TNC
2024-05-10,,Mua,70000.0,58540.0,-0.482,TNC
2024-03-14,,Mua,50000.0,59993.0,-0.494,TNC
2024-03-01,,Mua,269000.0,56407.0,-0.462,TNC
2024-01-22,,Bán,-389900.0,57570.0,-0.473,TNC
2024-01-10,,Bán,-351892.0,62320.0,-0.513,TNC
2024-01-03,,Bán,-201900.0,62320.0,-0.513,TNC
2023-07-21,,Mua,50000.0,56214.0,-0.46,TNC
2023-07-07,,Bán,-390000.0,56518.0,-0.463,TNC
2023-06-16,,Mua,1900000.0,53598.0,-0.434,TNC
2023-06-16,,Bán,-1900000.0,53598.0,-0.434,TNC
2023-03-16,,Mua,815500.0,63677.0,-0.523,TNC
2023-01-17,,Mua,385500.0,49076.0,-0.382,TNC
2022-12-21,,Bán,-430000.0,64430.0,-0.529,TNC
2022-12-14,,Mua,480360.0,64430.0,-0.529,TNC
2025-01-08,,Mua,1000000.0,23889.0,-0.012,TNG
2024-11-25,,Mua,11000.0,24479.0,-0.036,TNG
2024-11-04,,Mua,4100.0,24095.0,-0.021,TNG
2024-09-09,,Mua,32000.0,25643.0,-0.08,TNG
2024-09-09,,Mua,21000.0,25643.0,-0.08,TNG
2024-08-28,,Mua,60000.0,27095.0,-0.129,TNG
2024-06-18,,Mua,33900.0,22597.0,0.044,TNG
2024-04-23,,Bán,-30000.0,17654.0,0.337,TNG
2024-04-17,,Bán,-852000.0,17654.0,0.337,TNG
2024-04-03,,Bán,-39300.0,20037.0,0.178,TNG
