exchange,industry,company_type,no_shareholders,foreign_percent,outstanding_share,issue_share,established_year,no_employees,stock_rating,delta_in_week,delta_in_month,delta_in_year,short_name,website,industry_id,industry_id_v2,Tickers
UPCOM,Tài nguyên Cơ bản,CT,2043,1.0,20.0,20.0,2007.0,94,,-92.0,-76.0,579,Thép tấm lá Thống Nhất,http://www.tnsteel.vn,159,1757,TNS
HOSE,Tài nguyên Cơ bản,CT,1842,15.0,51.0,51.0,2006.0,15,2025-02-02 00:00:00,-2.0,16.0,-117,Tập đoàn TNT,https://tnt-group.vn,166,1775,TNT
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,353,0.0,16.0,16.0,2009.0,453,,12.0,53.0,493,Nước sạch Thái Nguyên,http://www.nuocsachthainguyen.vn,277,7577,TNW
UPCOM,Bán lẻ,CT,548,12.0,2025-04-25 00:00:00,2025-04-25 00:00:00,2013.0,7,,3.0,72.0,-219,Phân phối Top One,https://toponejs.com,250,5373,TOP
UPCOM,Dầu khí,CT,376,0.0,31.0,31.0,2012.0,882,2025-07-02 00:00:00,-3.0,0.1,1012,Dịch vụ biển Tân Cảng,https://tancangoffshore.com,316,573,TOS
HNX,Hàng & Dịch vụ Công nghiệp,CT,240,39.0,2025-02-09 00:00:00,2025-02-09 00:00:00,2009.0,275,,9.0,-7.0,0.01,Vận tải Transimex,https://transimex.com.vn,194,2779,TOT
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,213,96.0,8.0,8.0,2017.0,83,,-33.0,42.0,539,Cấp nước Trà Nóc - Ô Môn,https://tranoc-omonwaco.com.vn,277,7577,TOW
HOSE,Ngân hàng,NH,28380,299.0,2642.0,2642.0,2008.0,7448,2025-06-02 00:00:00,0.0,4.0,5,TPBank,https://tpb.vn,289,8355,TPB
HOSE,Hóa chất,CT,670,17.0,2025-05-22 00:00:00,2025-04-24 00:00:00,1984.0,419,2025-06-02 00:00:00,16.0,0.01,241,Nhựa Tân Đại Hưng,http://tandaihungplastic.com,150,1353,TPC
HNX,Truyền thông,CT,0,2.0,2025-01-02 00:00:00,2025-01-02 00:00:00,2004.0,74,,3.0,16.0,103,In Sách giáo khoa TP.Hà Nội,http://www.sachgiaoduchanoi.vn,256,5557,TPH
HNX,Hàng & Dịch vụ Công nghiệp,CT,463,2.0,45.0,45.0,2005.0,1609,2.0,-7.0,6.0,55,Nhựa Tân Phú VN,http://tanphuvietnam.vn,184,2723,TPP
UPCOM,Du lịch và Giải trí,CT,153,18.0,5.0,5.0,2006.0,104,,84.0,62.0,1484,Bến bãi vận tải Sài Gòn,http://www.benbaivantaisaigon.com.vn,262,5759,TPS
UPCOM,Tài nguyên Cơ bản,CT,147,0.0,2025-06-03 00:00:00,2025-06-03 00:00:00,2004.0,306,,3.0,16.0,323,Thông Quảng Ninh,https://quangninhpine.vn,155,1733,TQN
UPCOM,"Điện, nước & xăng dầu khí đốt",CT,325,0.0,2025-09-08 00:00:00,2025-09-08 00:00:00,2010.0,240,,3.0,16.0,-72,Cấp thoát nước Tuyên Quang,https://capthoatnuoctuyenquang.vn,277,7577,TQW
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,0,0.0,2025-06-04 00:00:00,2025-06-04 00:00:00,2000.0,100,,3.0,-93.0,314,Vận Tải 1 Traco,https://www.traco.vn,193,2777,TR1
HOSE,Y tế,CT,1179,467.0,41.5,41.5,1999.0,1497,2025-08-02 00:00:00,11.0,22.0,-104,Traphaco,https://traphaco.com.vn,238,4577,TRA
HOSE,Hóa chất,CT,698,26.0,2025-01-29 00:00:00,30.0,2006.0,2342,2025-02-03 00:00:00,41.0,0.07,726,Cao su Tây Ninh,http://taniruco.com,150,1353,TRC
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,151,0.0,2025-05-06 00:00:00,2025-05-06 00:00:00,2006.0,224,,3.0,16.0,-468,Vận tải và Dịch vụ Hàng Hải,https://trasas.com.vn,191,2773,TRS
UPCOM,Xây dựng và Vật liệu,CT,138,0.0,11.0,11.0,2005.0,479,,7.0,-251.0,-0.23,CTCP RedstarCera,https://redstarcera.com,180,2353,TRT
UPCOM,Xây dựng và Vật liệu,CT,245,0.0,2025-09-03 00:00:00,2025-09-03 00:00:00,2013.0,77,,85.0,93.0,168,Trường Sơn 532,https://truongson532.com.vn,181,2357,TS3
UPCOM,Thực phẩm và đồ uống,CT,1737,8.0,2025-01-16 00:00:00,2025-02-16 00:00:00,2001.0,4,,3.0,16.0,-76,Thủy sản số 4,https://www.seafoodno4.com,217,3573,TS4
HNX,Hàng & Dịch vụ Công nghiệp,CT,295,37.0,2025-07-06 00:00:00,2025-07-06 00:00:00,2004.0,161,,-25.0,-49.0,-87,Ắc quy Tia Sáng,http://www.tiasangbattery.com,186,2733,TSB
HOSE,Hóa chất,CT,11453,2.0,196.9,196.9,1976.0,696,2025-02-02 00:00:00,-22.0,-0.04,-435,Kỹ thuật NN Cần Thơ,https://www.tsccantho.com.vn,151,1357,TSC
UPCOM,Du lịch và Giải trí,CT,96,33.0,2025-03-01 00:00:00,2025-03-01 00:00:00,2007.0,45,,-125.0,48.0,455,Du lịch Trường Sơn Coecco,https://truongsontourist.com.vn,262,5759,TSD
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,285,4.0,2025-01-03 00:00:00,2025-01-03 00:00:00,2010.0,389,,3.0,138.0,377,TTTH Đường sắt Sài Gòn,http://www.ttthsaigon.vn,192,2775,TSG
UPCOM,Du lịch và Giải trí,CT,183,0.0,74.8,74.8,2005.0,71,2025-04-02 00:00:00,3.0,185.0,-426,Hanoi Toserco,https://hanoitoserco.com.vn,262,5759,TSJ
UPCOM,Công nghệ Thông tin,CT,0,9.0,2025-08-04 00:00:00,2025-08-04 00:00:00,2000.0,113,,-104.0,16.0,486,Dịch vụ KT Viễn Thông,http://www.tst.com.vn,308,9533,TST
HOSE,"Điện, nước & xăng dầu khí đốt",CT,5772,25.0,170.1,170.1,2008.0,136,2025-07-02 00:00:00,-24.0,16.0,0.55,XD và PT Trường Thành,https://truongthanhgroup.com.vn,274,7535,TTA
UPCOM,Xây dựng và Vật liệu,CT,5661,0.0,101.5,101.5,2008.0,41,2.0,3.0,16.0,,Tập đoàn Tiến Bộ,http://www.tienbo.vn,180,2353,TTB
HNX,Xây dựng và Vật liệu,CT,0,82.0,2025-09-05 00:00:00,6.0,2003.0,282,,32.0,7.0,-196,Gạch men Thanh Thanh,http://www.thanhthanhceramic.com,180,2353,TTC
UPCOM,Y tế,CT,268,4.0,2025-06-15 00:00:00,2025-06-15 00:00:00,2002.0,553,2025-02-02 00:00:00,-58.0,-94.0,-0.3,Bệnh viện Tim Tâm Đức,https://tamduchearthospital.com,234,4533,TTD
HOSE,"Điện, nước & xăng dầu khí đốt",CT,245,1.0,2025-05-28 00:00:00,2025-05-28 00:00:00,2014.0,75,2025-04-02 00:00:00,3.0,72.0,1835,ĐT Năng lượng Trường Thịnh,https://dientruongthinh.vn,274,7535,TTE
HOSE,Tài nguyên Cơ bản,CT,21204,56.0,393.5,393.5,2003.0,2190,2025-09-01 00:00:00,0.0,19.0,-381,Gỗ Trường Thành,https://www.truongthanh.com,155,1733,TTF
UPCOM,Hàng cá nhân & Gia dụng,CT,0,39.0,2025-04-03 00:00:00,2025-04-03 00:00:00,2008.0,188,,82.0,54.0,373,May Thanh Trì,https://hapro.com.vn,226,3763,TTG
HNX,Tài nguyên Cơ bản,CT,4481,3.0,37.4,37.4,2003.0,6,,3.0,-18.0,-276,TM và DV Tiến Thành,http://tienthanhjsc.vn,159,1757,TTH
HNX,Xây dựng và Vật liệu,CT,335,0.0,41.9,41.9,2010.0,71,2025-04-02 00:00:00,-0.06,-387.0,-109,TCT Thăng Long,http://tlg.com.vn,181,2357,TTL
UPCOM,Viễn thông,CT,2513,12.0,36.7,36.7,2008.0,297,3.0,-2.0,322.0,2098,Công nghệ và Truyền thông VN,https://vntt.com.vn,267,6535,TTN
OTC,Hàng & Dịch vụ Công nghiệp,CT,430,882.0,2025-05-13 00:00:00,15.0,2004.0,729,2025-06-02 00:00:00,,,,Bao bì nhựa Tân Tiến,https://tapack.com,184,2723,TTP
UPCOM,Tài nguyên Cơ bản,CT,677,0.0,50.8,50.8,2008.0,250,2025-05-02 00:00:00,3.0,-51.0,-0.62,Cán thép Thái Trung,https://ttr.com.vn,159,1757,TTS
HNX,Du lịch và Giải trí,CT,130,24.0,2025-06-04 00:00:00,2025-06-04 00:00:00,2007.0,91,,28.0,35.0,-67,Du lịch - Thương Mại Tây Ninh,http://tanitour.com.vn,262,5759,TTT
UPCOM,Xây dựng và Vật liệu,CT,1173,129.0,2025-06-07 00:00:00,2025-06-07 00:00:00,2003.0,7,,3.0,16.0,-76,Xây dựng Tiến Trung,https://ttzholdings.com.vn,180,2353,TTZ
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,159,59.0,2025-07-02 00:00:00,2025-07-02 00:00:00,2010.0,105,,-58.0,-44.0,149,Lai dắt và VT cảng Hải Phòng,https://tugtranco.vn,193,2777,TUG
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,1528,0.0,2025-07-26 00:00:00,2025-07-26 00:00:00,1982.0,591,2025-08-02 00:00:00,-16.0,6.0,95,Tư vấn XD Điện 1,http://www.pecc1.com.vn,195,2791,TV1
HOSE,Hàng & Dịch vụ Công nghiệp,CT,5275,93.0,67.5,67.5,1985.0,1213,2025-03-02 00:00:00,13.0,-22.0,-234,Tư vấn XD Điện 2,https://www.pecc2.com,195,2791,TV2
HNX,Xây dựng và Vật liệu,CT,0,2.0,2025-05-09 00:00:00,2025-05-09 00:00:00,2007.0,408,,-34.0,-12.0,-71,Tư vấn XD điện 3,http://www.pecc3.com.vn,181,2357,TV3
HNX,Hàng & Dịch vụ Công nghiệp,CT,485,7.0,2025-08-19 00:00:00,2025-08-19 00:00:00,2007.0,431,2025-08-02 00:00:00,3.0,-0.02,37,Tư vấn XD Điện 4,http://www.pecc4.vn,195,2791,TV4
UPCOM,Bán lẻ,CT,165,0.0,3.0,3.0,2008.0,8,,3.0,16.0,1266,TM ĐT xây lắp điện Thịnh Vượng,https://emaland.vn,253,5379,TV6
UPCOM,Xây dựng và Vật liệu,CT,339,0.0,2025-03-06 00:00:00,2025-03-06 00:00:00,2008.0,245,,481.0,944.0,-84,Sứ Viglacera Thanh Trì,https://viglacerathanhtri.vn,180,2353,TVA
HOSE,Dịch vụ tài chính,CK,8074,13.0,112.1,112.1,2006.0,37,2025-06-02 00:00:00,-37.0,-91.0,354,Chứng khoán Trí Việt,http://www.tvsc.vn,300,8777,TVB
HNX,Dịch vụ tài chính,CT,6067,11.0,118.6,118.6,2012.0,14,2025-06-02 00:00:00,-38.0,-79.0,507,Tập đoàn Trí Việt,http://tcorp.vn,299,8775,TVC
HNX,Tài nguyên Cơ bản,CT,0,0.03,45.0,45.0,2008.0,5680,2025-06-02 00:00:00,-7.0,7.0,-306,Than Vàng Danh,https://vangdanhcoal.com.vn,160,1771,TVD
UPCOM,Xây dựng và Vật liệu,CT,128,0.0,2.0,2.0,2005.0,80,,3.0,16.0,1289,XD Giao thông Vận tải,https://www.tricc.vn,181,2357,TVG
UPCOM,Xây dựng và Vật liệu,CT,224,0.0,4.0,4.0,2004.0,158,,3.0,16.0,323,Tư vấn XD công trình Hàng hải,https://cmbvn.com.vn,181,2357,TVH
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,251,0.0,2025-04-02 00:00:00,2025-04-02 00:00:00,2006.0,206,,3.0,16.0,423,Tư vấn đầu tư Mỏ,http://vimcc.vn,195,2791,TVM
UPCOM,Tài nguyên Cơ bản,CT,9651,1.0,678.0,678.0,2012.0,5850,2.0,-37.0,-14.0,133,Thép Việt Nam,https://vnsteel.vn,159,1757,TVN
OTC,Y tế,CT,234,1.0,2025-05-29 00:00:00,2025-05-29 00:00:00,2003.0,873,2025-01-02 00:00:00,,,,Dược phẩm TV.Pharm,http://www.tvpharm.com.vn,238,4577,TVP
HOSE,Dịch vụ tài chính,CK,2633,219.0,167.0,167.0,2006.0,111,2.0,-16.0,-48.0,-136,Chứng khoán Thiên Việt,https://www.tvs.vn,300,8777,TVS
HOSE,Hàng cá nhân & Gia dụng,CT,729,3.0,21.0,21.0,2007.0,1516,2025-04-02 00:00:00,3.0,84.0,16,May Việt Thắng,https://vietthang.com.vn,226,3763,TVT
OTC,"Điện, nước & xăng dầu khí đốt",CT,183,0.0,2025-06-14 00:00:00,2025-06-14 00:00:00,2010.0,200,,,,,Cấp thoát nước Trà Vinh,http://www.trawaco.com.vn,277,7577,TVW
UPCOM,Y tế,CT,111,1.0,2025-07-01 00:00:00,2025-08-01 00:00:00,2010.0,111,,3.0,-69.0,-29,Dược TW3,https://duoctw3.com,238,4577,TW3
HNX,Xây dựng và Vật liệu,CT,1116,8.0,7.0,7.0,2006.0,41,,-0.04,-6.0,-76,Thạch cao Xi măng,https://www.thachcaoximang.com.vn,180,2353,TXM
HOSE,Hàng & Dịch vụ Công nghiệp,CT,0,388.0,2025-07-30 00:00:00,2025-01-06 00:00:00,1992.0,337,2025-05-02 00:00:00,87.0,101.0,419,Dây và Cáp điện Taya,http://www.taya.com.vn,186,2733,TYA
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,165,0.0,2025-03-05 00:00:00,2025-03-05 00:00:00,2010.0,403,,3.0,-52.0,-62,Đô thị Cần Thơ,http://congtrinhdothicantho.vn,199,2799,UCT
UPCOM,Xây dựng và Vật liệu,CT,1201,139.0,34.7,35.0,1995.0,125,2025-01-02 00:00:00,0.0,8.0,-164,XD&PT Đô thị Bà Rịa - Vũng Tàu,http://www.udec.com.vn,181,2357,UDC
UPCOM,Xây dựng và Vật liệu,CT,861,49.0,2025-05-16 00:00:00,2025-05-16 00:00:00,2007.0,16,2025-01-03 00:00:00,-1.0,1.0,-84,Becamex UDJ,https://becamexudj.com.vn,181,2357,UDJ
UPCOM,Hàng & Dịch vụ Công nghiệp,CT,431,0.0,2025-06-06 00:00:00,2025-06-06 00:00:00,2008.0,742,,3.0,16.0,-116,Đô thị và Môi trường Đắk Lắk,http://www.moitruongdothidaklak.com.vn,199,2799,UDL
